date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses
2013-12-27,379675124.464,53872,9295570000.0,763.28,46862700.0,4375.0,12.44201179,null,
2013-12-28,490419104.463,47385,8990850000.0,737.98,32505800.0,4050.0,11.49560145,null,
2013-12-29,553673161.791,49881,8872600000.0,728.05,19011300.0,4050.0,13.47189495,null,
2013-12-30,554894562.876,56313,9037000000.0,741.35,20707700.0,4675.0,13.17966365,null,
2013-12-31,379199172.472,51224,9268240000.0,760.32,20897300.0,4300.0,11.24629303,null,
2014-01-01,375958724.409,40747,9203030000.0,754.97,22489400.0,4925.0,9.00630984,null,
2014-01-02,452048460.36,51262,9428180000.0,773.44,38489500.0,3600.0,12.93974611,null,
2014-01-03,712007954.739,63406,9786680000.0,802.85,37810100.0,4225.0,14.4504349,null,
2014-01-04,465706392.237,51518,10035600000.0,823.27,38005000.0,3450.0,12.09017205,null,
2014-01-05,733188278.683,57249,10465700000.0,858.55,72898500.0,4650.0,13.61809361,null,
2014-01-06,832779115.395,67748,11410400000.0,936.05,85565700.0,4425.0,29.82023843,null,
2014-01-07,724470917.507,61942,11571400000.0,946.49,81311700.0,4675.0,15.21717994,null,
2014-01-08,731010469.012,61835,9734800000.0,795.99,74175600.0,4900.0,14.20804275,null,
2014-01-09,402795203.424,59205,10295100000.0,841.47,59998600.0,4750.0,13.06460228,null,
2014-01-10,466173815.736,55439,10363300000.0,846.69,31876800.0,4875.0,12.73628226,null,
2014-01-11,315912670.157,56268,10619900000.0,867.32,44754200.0,5275.0,12.3801392,null,
2014-01-12,309862629.396,49454,11264800000.0,919.6,39623500.0,4825.0,11.7404285,null,
2014-01-13,401197207.35,54042,10541500000.0,860.19,45580900.0,4925.0,12.28556988,null,
2014-01-14,475727993.822,53683,10336500000.0,843.17,20829800.0,3700.0,12.19648116,null,
2014-01-15,542431522.477,62702,10216700000.0,833.12,28107200.0,4325.0,19.97965844,null,
2014-01-16,453198918.399,55861,10553800000.0,860.29,19149300.0,4975.0,13.36155107,null,
2014-01-17,319206184.346,59125,10241200000.0,834.49,39031700.0,3775.0,14.6468525,null,
2014-01-18,263893777.601,53571,10018200000.0,816.07,18052700.0,4300.0,12.94063759,null,
2014-01-19,397886282.592,47811,10311500000.0,839.66,24365700.0,4475.0,11.80457955,null,
2014-01-20,622955973.045,60194,10704800000.0,871.39,27652700.0,4600.0,14.0453292,null,
2014-01-21,476000862.76,72129,10687700000.0,869.65,18997300.0,4250.0,16.38900355,null,
2014-01-22,374287456.133,65759,10661400000.0,867.21,18453700.0,4775.0,14.11464982,null,
2014-01-23,410942541.027,63657,10398000000.0,845.46,15607100.0,4550.0,16.96521877,null,
2014-01-24,548453196.628,66325,10118400000.0,822.43,34912000.0,4825.0,15.75402838,null,
2014-01-25,368650948.593,54717,9799920000.0,796.24,24303900.0,3925.0,12.2226694,null,
2014-01-26,285892526.472,52364,10510400000.0,853.68,32224300.0,3950.0,11.48134112,null,
2014-01-27,676192231.153,61494,10894400000.0,884.6,49233600.0,4100.0,13.14408526,null,
2014-01-28,488868390.089,66442,9535950000.0,774.02,44875500.0,4050.0,14.01059215,null,
2014-01-29,351252667.21,60311,9981850000.0,809.96,17984400.0,3925.0,13.45821084,null,
2014-01-30,426666455.59,61438,10182900000.0,826.02,29918200.0,4100.0,13.64895666,null,
2014-01-31,323360866.482,60530,10092900000.0,818.43,17107900.0,4650.0,13.62773726,null,
2014-02-01,346013412.4,55923,10222300000.0,828.61,19668700.0,4875.0,12.66526224,null,
2014-02-02,362556866.578,50507,10279200000.0,832.9,11300900.0,4450.0,10.01752128,null,
2014-02-03,393485631.707,59483,10174100000.0,824.08,13940100.0,4800.0,12.73745768,null,
2014-02-04,575180685.124,65207,10174000000.0,823.77,16609700.0,4200.0,13.5184934,null,
2014-02-05,470785174.751,67942,10254100000.0,829.96,22395100.0,4325.0,13.83310049,null,
2014-02-06,545604603.452,68961,10079900000.0,815.59,50108700.0,4100.0,15.0306946,null,
2014-02-07,617314580.723,72480,9683190000.0,783.2,113643000.0,4100.0,15.46350605,null,
2014-02-08,389785675.365,64133,8651930000.0,699.57,38742600.0,4450.0,12.4508776,null,
2014-02-09,334035669.121,58815,8307340000.0,671.46,39311400.0,3700.0,11.06891301,null,
2014-02-10,423928455.435,67677,8431680000.0,681.32,112758000.0,3875.0,13.14691692,null,
2014-02-11,479785834.303,63135,8461320000.0,683.5,72745200.0,4100.0,12.25564069,null,
2014-02-12,407075920.196,61830,8326420000.0,672.38,25367600.0,4275.0,16.09964453,null,
2014-02-13,362391377.672,67712,8065550000.0,651.08,38588100.0,4400.0,13.92974014,null,
2014-02-14,432467918.51,76652,7449940000.0,601.17,102506000.0,4925.0,17.08877572,null,
2014-02-15,614395103.414,63082,8193290000.0,660.9,26709200.0,4450.0,13.55332947,null,
2014-02-16,324995755.515,55282,8077340000.0,651.3,40061700.0,4825.0,10.86050675,null,
2014-02-17,352416431.4,58987,7620580000.0,614.23,31948400.0,4050.0,12.97488797,null,
2014-02-18,279578023.694,67993,7783430000.0,627.16,20015100.0,4225.0,24.1472286,null,
2014-02-19,254070436.984,68833,7771210000.0,625.97,13897800.0,4875.0,14.27430015,null,
2014-02-20,290820129.352,69889,7738580000.0,623.09,46905000.0,4300.0,14.61140653,null,
2014-02-21,298743677.346,71561,6918730000.0,556.88,47308100.0,4075.0,14.28540775,null,
