Date,DJIA,S&P,NASDAQ
1987-04-16,2296.590088,284.450012,418.700012
1987-04-20,2293.179932,286.910004,418.799988
1987-04-21,2257.669922,285.880005,414.5
1987-04-22,2331.820068,293.049988,419.89999400000005
1987-04-23,2296.310059,287.190002,417.700012
1987-04-24,2261.080078,286.809998,415.899994
1987-04-27,2208.100098,281.519989,407.899994
1987-04-28,2240.6298829999996,281.829987,412.200012
1987-04-29,2248.01001,282.579987,414.100006
1987-04-30,2256.820068,284.579987,415.600006
1987-05-01,2282.23999,286.98999,418.600006
1987-05-04,2275.139893,288.019989,418.600006
1987-05-05,2303.409912,289.359985,420.5
1987-05-06,2338.209961,295.350006,422.700012
1987-05-07,2343.320068,295.450012,422.799988
1987-05-08,2345.8798829999996,294.730011,423.299988
1987-05-11,2336.75,293.369995,424.60000599999995
